Unnamed: 0,Day 1,Day 5,Day 14,Day 22,Day 30,Day 39,Day 46,Final,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
Amber,Callum,Anton,Michael,Michael,,Ovie,Greg,Winner (Day 58),,
Greg,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Amber,Winner (Day 58),,
Molly-Mae,Not in Villa,Tommy,Tommy,Tommy,Tommy,Tommy,Tommy,Runner-Up (Day 58),,
Tommy,,Molly-Mae,Molly-Mae,Molly-Mae,Molly-Mae,Molly-Mae,Molly-Mae,Runner-Up (Day 58),,
India,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Ovie,3rd Place (Day 58),,
Ovie,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Anna,Amber,India,3rd Place (Day 58),,
Curtis,,Amy,Amy,Amy,Amy,Francesca,Maura,4th Place (Day 58),,
Maura,Not in Villa,Not in Villa,,Tom,Marvin,Chris,Curtis,4th Place (Day 58),,
Anton,Amy,Amber,Elma,Lucie,Belle,Belle,Belle,Dumped (Day 56),,
Belle,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Anton,Anton,Anton,Dumped (Day 56),,
Anna,Sherif,Sherif,,Jordan,Ovie,Jordan,Jordan,Dumped (Day 52),,
Chris,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Maura,Harley,Dumped (Day 52),,
Harley,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Chris,Dumped (Day 52),,
Jordan,Not in Villa,Not in Villa,Not in Villa,Anna,,Anna,Anna,Dumped (Day 52),,
Francesca,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Curtis,Michael,Dumped (Day 49),,
Michael,Yewande,Yewande,Amber,Amber,Joanna,Joanna,Francesca,Dumped (Day 49),,
Joanna,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Michael,Michael,Dumped (Day 42),Dumped (Day 42),,
Marvin,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Maura,Dumped (Day 39),Dumped (Day 39),Dumped (Day 39),,
Amy,Anton,Curtis,Curtis,Curtis,Curtis,Walked (Day 37),Walked (Day 37),Walked (Day 37),,
George,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Lucie,Dumped (Day 36),Dumped (Day 36),Dumped (Day 36),,
Lucie,Joe,Joe,Joe,Anton,George,Dumped (Day 36),Dumped (Day 36),Dumped (Day 36),,
Danny,Not in Villa,Not in Villa,Yewande,Arabella,Jourdan,Dumped (Day 36),Dumped (Day 36),Dumped (Day 36),,
Jourdan,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Danny,Dumped (Day 36),Dumped (Day 36),Dumped (Day 36),,
Dan,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 30),Dumped (Day 30),Dumped (Day 30),Dumped (Day 30),,
Dennon,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 30),Dumped (Day 30),Dumped (Day 30),Dumped (Day 30),,
Lavena,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 30),Dumped (Day 30),Dumped (Day 30),Dumped (Day 30),,
Maria,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 30),Dumped (Day 30),Dumped (Day 30),Dumped (Day 30),,
Nabila,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 30),Dumped (Day 30),Dumped (Day 30),Dumped (Day 30),,
Stevie,Not in Villa,Not in Villa,Not in Villa,Not in Villa,Dumped (Day 30),Dumped (Day 30),Dumped (Day 30),Dumped (Day 30),,
Arabella,Not in Villa,Not in Villa,Not in Villa,Danny,Dumped (Day 25),Dumped (Day 25),Dumped (Day 25),Dumped (Day 25),,
Tom,Not in Villa,Not in Villa,Not in Villa,Maura,Dumped (Day 25),Dumped (Day 25),Dumped (Day 25),Dumped (Day 25),,
Yewande,Michael,Michael,Danny,Dumped (Day 22),Dumped (Day 22),Dumped (Day 22),Dumped (Day 22),Dumped (Day 22),,
Elma,Not in Villa,Not in Villa,Anton,Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),,
Joe,Lucie,Lucie,Lucie,Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),Dumped (Day 16),,
Sherif,Anna,Anna,Removed (Day 9),Removed (Day 9),Removed (Day 9),Removed (Day 9),Removed (Day 9),Removed (Day 9),,
Callum,Amber,Dumped (Day 5),Dumped (Day 5),Dumped (Day 5),Dumped (Day 5),Dumped (Day 5),Dumped (Day 5),Dumped (Day 5),,
,,,,,,,,,,
Notes,1,,2,,"3, 4",5,6,,,
